strain	lineage_PANGOLIN	missing	coverage	gisaid	date	country	region	gender	age	lineage_GISAID	EPI
02920AADLQ	DJ.1.1	239	0.991974049426479	74	2022-11-21	Peru	Tacna	Male	11	DJ.1.1	02920AADLQ
03358ABJCB	DJ.1.1	498	0.983312711099221	75	2022-11-30	Peru	Ica	Female	27	DJ.1.1	03358ABJCB
03358ABJCG	DJ.1.1	180	0.993947095609136	75	2022-11-30	Peru	Ica	Male	46	DJ.1.1	03358ABJCG
03655AAFVR	DJ.1.1	32	0.998862990335418	74	2022-11-18	Peru	Ayacucho	Male	81	DJ.1.1	03655AAFVR
03853AAEMY	DJ.1.1	183	0.993846771226967	75	2022-11-23	Peru	Huancavelica	Male	47	DJ.1.1	03853AAEMY
05195AAMNQ	DJ.1.1	52	0.998227602581681	74	2022-11-23	Peru	La Libertad	Female	46	DJ.1.1	05195AAMNQ
05226AARUC	DJ.1.1	58	0.998026953817343	74	2022-11-22	Peru	La Libertad	Female	45	DJ.1.1	05226AARUC
05443AAAOY	DJ.1.1	90	0.996956827074207	75	2022-11-22	Peru	Ucayali	Female	72	DJ.1.1	05443AAAOY
05565AACAE	DJ.1.1	287	0.990402300772498	75	2022-11-22	Peru	Ucayali	Female	39	DJ.1.1	05565AACAE
05565AACCL	DJ.1.1	122	0.99588670033107	75	2022-11-23	Peru	Ucayali	Female	1	DJ.1.1	05565AACCL
05577AAIAD	DJ.1.1	62	0.997893187974451	75	2022-11-22	Peru	Ucayali	Female	46	DJ.1.1	05577AAIAD
06457AABXB	DJ.1.1	251	0.991606193358526	75	2022-11-28	Peru	San Martin	Female	32	DJ.1.1	06457AABXB
06918AAYAC	DJ.1.1	33	0.998896431796141	1079	2022-11-25	Peru	San Martin	Female	42	DJ.1.1	06918AAYAC
09047AAYGS	DJ.1.2	51	0.998261044042404	74	2022-11-16	Peru	Ancash	Male	52	DJ.1	09047AAYGS
09047AAYHI	DJ.1.2	230	0.992275022572986	74	2022-11-17	Peru	Ancash	Female	17	DJ.1	09047AAYHI
09047AAYIF	DJ.1.1	54	0.998160719660235	74	2022-11-18	Peru	Ancash	Male	69	DJ.1.1	09047AAYIF
09047AAYJU	DJ.1.2	138	0.995351636959502	74	2022-11-21	Peru	Ancash	Male	75	DJ.1	09047AAYJU
09047AAYKP	DJ.1.1	241	0.991940607965756	74	2022-11-22	Peru	Ancash	Male	46	DJ.1.1	09047AAYKP
09055AABPB	DJ.1.3	379	0.987325686385981	74	2022-11-16	Peru	Ancash	Male	68	DJ.1	09055AABPB
09055AABPG	DJ.1.2	33	0.998862990335418	74	2022-11-19	Peru	Ancash	Male	51	DJ.1	09055AABPG
09055AABPV	DJ.1.1	139	0.995318195498779	74	2022-11-17	Peru	Ancash	Male	48	DJ.1.1	09055AABPV
10272ABVZK	DJ.1.1	93	0.996823061231315	75	2022-11-29	Peru	Cajamarca	Female	26	DJ.1.1	10272ABVZK
10952AAIJK	DJ.1.1	276	0.990736715379728	328	2022-11-23	Peru	Junin	Female	25	DJ.1.1	10952AAIJK
10952AAIJR	DJ.1.1	492	0.983513359863559	328	2022-11-23	Peru	Junin	Male	33	DJ.1.1	10952AAIJR
11117ABQZG	DJ.1.1	38	0.998628900110357	74	2022-11-23	Peru	Ancash	Male	31	DJ.1.1	11117ABQZG
11775AARSF	DJ.1.1	215	0.992743203023108	74	2022-11-16	Peru	Ayacucho	Female	47	DJ.1.1	11775AARSF
11775AARSV	DJ.1.1	26	0.999063639099756	74	2022-11-18	Peru	Ayacucho	Female	62	DJ.1.1	11775AARSV
13886ABYYZ	DJ.1.1	36	0.998762665953249	74	2022-11-15	Peru	Tumbes	Female	53	DJ.1.1	13886ABYYZ
14014AACHJ	DJ.1.1	132	0.99555228572384	75	2022-11-25	Peru	Huancavelica	Male	36	DJ.1.1	14014AACHJ
14014AACHK	DJ.1.1	472	0.984215630538742	75	2022-11-25	Peru	Huancavelica	Male	54	DJ.1.1	14014AACHK
14050AAEYU	DJ.1.1	52	0.998227602581681	74	2022-11-17	Peru	Ayacucho	Female	35	DJ.1.1	14050AAEYU
27857AABND	DJ.1.1	249	0.991673076279972	328	2022-11-21	Peru	Junin	Female	34	DJ.1.1	27857AABND
APPERAENSH	DJ.1.1	290	0.990301976390329	74	2022-11-22	Peru	Lima	Female	31	DJ.1.1	APPERAENSH
hCoV-19/Argentina/INEI121730/2022	BA.5.1.25	43	0.997491890445775	gisaid	2022-07-23	Argentina	Santa Fe	Female	15	BA.5.1.25	EPI_ISL_14944595
hCoV-19/Argentina/INEI122014/2022	BA.5.1.25	0	0.996421763702639	gisaid	2022-07-31	Argentina	Santa Fe	Female	55	BA.5.1.25	EPI_ISL_14944798
hCoV-19/Argentina/INEI122042/2022	BA.5.1.25	1646	0.943751463063907	gisaid	2022-08-01	Argentina	Santa Fe	Female	38	BA.5.1.25	EPI_ISL_14944822
hCoV-19/Argentina/PAIS-A1617/2022	BA.5.1.25	425	0.959970571514564	gisaid	2022-10-06	Argentina	Buenos Aires	unknown	unknown	BA.5.1.25	EPI_ISL_15455755
hCoV-19/Aruba/AW-RIVM-108151/2022	BA.5.1.25	0	0.995920141791793	gisaid	2022-07-25	Aruba	Aruba	unknown	unknown	BA.5.1.25	EPI_ISL_14705872
hCoV-19/Aruba/AW-RIVM-108882/2022	BA.5.1.25	0	0.995920141791793	gisaid	2022-07-29	Aruba	Aruba	unknown	unknown	BA.5.1.25	EPI_ISL_14705888
hCoV-19/Aruba/AW-RIVM-108888/2022	BA.5.1.25	0	0.995920141791793	gisaid	2022-07-30	Aruba	Aruba	unknown	unknown	BA.5.1.25	EPI_ISL_14705893
hCoV-19/Aruba/AW-RIVM-110232/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-08-13	Aruba	Aruba	unknown	unknown	BA.5.1.25	EPI_ISL_14773680
hCoV-19/Australia/NSW-ICPMR-28676/2022	BA.5.1.25	1695	0.92676320101662	gisaid	2022-06-27	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_13721516
hCoV-19/Australia/NSW-ICPMR-31712/2022	BA.5.1.25	948	0.951743972176705	gisaid	2022-08-06	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_14536403
hCoV-19/Australia/NSW-ICPMR-32021/2022	BA.5.1.25	1824	0.922449252583353	gisaid	2022-08-16	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_14617074
hCoV-19/Australia/NSW-ICPMR-34432/2022	BA.5.1.25	0	0.983446476942113	gisaid	2022-10-03	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15362385
hCoV-19/Australia/NSW-ICPMR-34576/2022	BA.5.1.25	0	0.983446476942113	gisaid	2022-10-04	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15362529
hCoV-19/Australia/NSW-ICPMR-34796/2022	BA.5.1.25	0	0.983446476942113	gisaid	2022-10-09	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15440089
hCoV-19/Australia/NSW-ICPMR-34832/2022	BA.5.1.25	6	0.983245828177775	gisaid	2022-10-10	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15440125
hCoV-19/Australia/NSW-ICPMR-35038/2022	BA.5.1.25	0	0.983446476942113	gisaid	2022-10-12	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15440331
hCoV-19/Australia/NSW-ICPMR-36322/2022	BA.5.1.25	0	0.983446476942113	gisaid	2022-11-02	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15736688
hCoV-19/Australia/NSW-ICPMR-36393/2022	BA.5.1.25	0	0.983446476942113	gisaid	2022-11-04	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_15736759
hCoV-19/Australia/NSW-RPAH-3399/2022	BA.5.1.25	17	0.956024479149249	gisaid	2022-07-26	Australia	New South Wales	unknown	unknown	BA.5.1.25	EPI_ISL_14192831
hCoV-19/Australia/NSW-SAVID-14117/2022	BA.5.1.25	2	0.992442229876601	gisaid	2022-09-30	Australia	New South Wales	unknown	0	BA.5.1.25	EPI_ISL_15381484
hCoV-19/Australia/QLD0x0104AF/2022	BA.5.1.25	0	0.995652610106009	gisaid	2022-07-20	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_14162925
hCoV-19/Australia/QLD0x010BDB/2022	BA.5.1.25	2	0.995585727184563	gisaid	2022-08-10	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_14616056
hCoV-19/Australia/QLD0x010BE8/2022	DJ.1	0	0.995652610106009	gisaid	2022-08-15	Australia	Queensland	unknown	unknown	DJ.1	EPI_ISL_14616086
hCoV-19/Australia/QLD0x01111D/2022	BA.5.1.25	267	0.986723740092967	gisaid	2022-08-26	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_14809332
hCoV-19/Australia/QLD0x01139A/2022	BA.5.1.25	261	0.986890947396582	gisaid	2022-09-12	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15031428
hCoV-19/Australia/QLD0x0113A7/2022	BA.5.1.25	0	0.995652610106009	gisaid	2022-09-12	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15031457
hCoV-19/Australia/QLD0x01146D/2022	BA.5.1.25	266	0.98675718155369	gisaid	2022-09-14	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15106609
hCoV-19/Australia/QLD0x0116E3/2022	BA.5.1.25	0	0.995652610106009	gisaid	2022-09-20	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15258785
hCoV-19/Australia/QLD0x01190B/2022	BA.5.1.25	60	0.993646122462629	gisaid	2022-09-27	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15301325
hCoV-19/Australia/QLD0x011BC1/2022	BA.5.1.25	264	0.986824064475136	gisaid	2022-10-10	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15429963
hCoV-19/Australia/QLD0x011F68/2022	BA.5.1.25	1017	0.951944620941043	gisaid	2022-10-25	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15693830
hCoV-19/Australia/QLD0x011F7E/2022	BA.5.1.25	491	0.979232852891014	gisaid	2022-10-25	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15693823
hCoV-19/Australia/QLD0x01204A/2022	BA.5.1.25	265	0.986790623014413	gisaid	2022-10-18	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15729139
hCoV-19/Australia/QLD0x012059/2022	BA.5.1.25	914	0.964953349162291	gisaid	2022-10-18	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15729178
hCoV-19/Australia/QLD0x01208F/2022	BA.5.1.25	261	0.986924388857305	gisaid	2022-10-25	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15729102
hCoV-19/Australia/QLD0x0120D1/2022	BA.5.1.25	263	0.986857505935859	gisaid	2022-11-01	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15729103
hCoV-19/Australia/QLD0x012314/2022	BA.5.1.25	69	0.993345149316122	gisaid	2022-10-15	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15797541
hCoV-19/Australia/QLD0x0123F7/2022	BA.5.1.25	1	0.995619168645286	gisaid	2022-10-30	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15832608
hCoV-19/Australia/QLD0x012553/2022	BA.5.1.25	102	0.992241581112263	gisaid	2022-11-01	Australia	Queensland	unknown	unknown	BA.5.1.25	EPI_ISL_15832140
hCoV-19/Australia/SA468428/2022	BA.5.1.25	12	0.978497140755108	gisaid	2022-10-24	Australia	South Australia	Male	unknown	BA.5.1.25	EPI_ISL_15627985
hCoV-19/Australia/VIC69421/2022	BA.5.1.25	38	0.998495134267465	gisaid	2022-08-22	Australia	Victoria	Male	88	BA.5.1.25	EPI_ISL_15118782
hCoV-19/Australia/VIC69646/2022	BA.5.1.25	38	0.998528575728188	gisaid	2022-08-24	Australia	Victoria	Female	32	BA.5.1.25	EPI_ISL_15118905
hCoV-19/Australia/VIC70298/2022	BA.5.1.25	36	0.99866234157108	gisaid	2022-09-02	Australia	Victoria	Male	81	BA.5.1.25	EPI_ISL_15119439
hCoV-19/Australia/VIC70618/2022	BA.5.1.25	20	0.995652610106009	gisaid	2022-09-07	Australia	Victoria	Female	60	BA.5.1.25	EPI_ISL_15119810
hCoV-19/Australia/VIC71471/2022	BA.5.1.25	37	0.998695783031803	gisaid	2022-09-21	Australia	Victoria	Male	42	BA.5.1.25	EPI_ISL_15185402
hCoV-19/Australia/VIC71506/2022	BA.5.1.25	297	0.988964317961409	gisaid	2022-09-20	Australia	Victoria	Female	54	BA.5.1.25	EPI_ISL_15185436
hCoV-19/Australia/VIC71649/2022	BA.5.1.25	37	0.99866234157108	gisaid	2022-09-24	Australia	Victoria	Female	81	BA.5.1.25	EPI_ISL_15185570
hCoV-19/Australia/VIC71768/2022	BA.5.1.25	21	0.999130522021202	gisaid	2022-09-25	Australia	Victoria	Female	81	BA.5.1.25	EPI_ISL_15275292
hCoV-19/Australia/VIC71919/2022	BA.5.1.25	36	0.99866234157108	gisaid	2022-09-29	Australia	Victoria	Female	38	BA.5.1.25	EPI_ISL_15357147
hCoV-19/Australia/VIC72050/2022	BA.5.1.25	2334	0.910443768183794	gisaid	2022-09-29	Australia	Victoria	Male	45	BA.5.1.25	EPI_ISL_15357249
hCoV-19/Australia/VIC72137/2022	BA.5.1.25	2516	0.911614219309099	gisaid	2022-10-03	Australia	Victoria	Female	60	BA.5.1.25	EPI_ISL_15357322
hCoV-19/Australia/VIC72185/2022	BA.5.1.25	684	0.976791626258235	gisaid	2022-10-03	Australia	Victoria	Female	54	BA.5.1.25	EPI_ISL_15357364
hCoV-19/Australia/VIC72204/2022	BA.5.1.25	35	0.998762665953249	gisaid	2022-10-05	Australia	Victoria	Male	28	BA.5.1.25	EPI_ISL_15357381
hCoV-19/Australia/VIC72384/2022	BA.5.1.25	37	0.998528575728188	gisaid	2022-10-04	Australia	Victoria	Male	28	BA.5.1.25	EPI_ISL_15357724
hCoV-19/Australia/VIC72526/2022	BA.5.1	34	0.998796107413972	gisaid	2022-10-06	Australia	Victoria	Female	60	BA.5.1.25	EPI_ISL_15358001
hCoV-19/Australia/VIC72731/2022	BA.5.1.25	36	0.99866234157108	gisaid	2022-10-09	Australia	Victoria	Male	56	BA.5.1.25	EPI_ISL_15471115
hCoV-19/Australia/VIC72762/2022	BA.5.1.25	37	0.997725980670836	gisaid	2022-10-11	Australia	Victoria	Male	unknown	BA.5.1.25	EPI_ISL_15471146
hCoV-19/Australia/VIC72905/2022	BA.5.1.25	37	0.997725980670836	gisaid	2022-10-12	Australia	Victoria	Female	31	BA.5.1.25	EPI_ISL_15471276
hCoV-19/Australia/VIC72928/2022	BA.5.1.25	36	0.997826305053005	gisaid	2022-10-12	Australia	Victoria	Male	unknown	BA.5.1.25	EPI_ISL_15471299
hCoV-19/Australia/VIC73339/2022	BA.5.1.25	38	0.99866234157108	gisaid	2022-10-17	Australia	Victoria	Female	unknown	BA.5.1.25	EPI_ISL_15531774
hCoV-19/Australia/VIC73443/2022	BA.5.1.25	43	0.997525331906498	gisaid	2022-10-18	Australia	Victoria	Male	unknown	BA.5.1.25	EPI_ISL_15532031
hCoV-19/Australia/VIC73474/2022	BA.5.1.25	2363	0.91930575527539	gisaid	2022-10-19	Australia	Victoria	Male	65	DJ.1	EPI_ISL_15532114
hCoV-19/Australia/VIC73595/2022	BA.5.1.25	36	0.997960070895897	gisaid	2022-10-18	Australia	Victoria	Male	58	BA.5.1.25	EPI_ISL_15641039
hCoV-19/Australia/VIC73622/2022	BA.5.1.25	168	0.993345149316122	gisaid	2022-10-20	Australia	Victoria	Female	47	BA.5.1.25	EPI_ISL_15641065
hCoV-19/Australia/VIC73792/2022	BA.5.1.25	36	0.99866234157108	gisaid	2022-10-22	Australia	Victoria	Male	31	BA.5.1.25	EPI_ISL_15641231
hCoV-19/Australia/VIC73869/2022	BA.5.1.25	359	0.987994515600441	gisaid	2022-10-23	Australia	Victoria	Female	38	BA.5.1.25	EPI_ISL_15641297
hCoV-19/Australia/VIC75771/2022	BA.5.1.25	512	0.981807845366686	gisaid	2022-11-07	Australia	Victoria	Male	18	BA.5.1.25	EPI_ISL_15830054
hCoV-19/Australia/WA6479/2022	BA.5.1.25	915	0.952880981841287	gisaid	2022-08-16	Australia	Western Australia	unknown	unknown	BA.5.1.25	EPI_ISL_14716861
hCoV-19/Austria/AGES-167722/2022	BA.5.1.25	3	0.987125037621643	gisaid	2022-05-23	Austria	Upper Austria	Female	28	BA.5.1.25	EPI_ISL_14511378
hCoV-19/Austria/AGES-180144/2022	BA.5.1.25	2	0.980236096712704	gisaid	2022-06-21	Austria	Upper Austria	Female	29	BA.5.1.25	EPI_ISL_14512154
hCoV-19/Austria/AGES-180194/2022	BA.5.1.23	2	0.974149750861118	gisaid	2022-06-21	Austria	Vienna	Female	30	BA.5.1.25	EPI_ISL_14512194
hCoV-19/Austria/AGES-180200/2022	BA.5.1.25	4	0.975420526368592	gisaid	2022-06-21	Austria	Carinthia	Female	29	BA.5.1.25	EPI_ISL_14512199
hCoV-19/Austria/AGES-721078/2022	BA.5.1.25	4	0.984683810988864	gisaid	2022-06-07	Austria	Upper Austria	Male	38	BA.5.1.25	EPI_ISL_14514679
hCoV-19/Austria/CeMM30500/2022	BA.5.1.25	942	0.963481924890479	gisaid	2022-05-21	Austria		unknown	unknown	BA.5.1.25	EPI_ISL_13490611
hCoV-19/Austria/CeMM30524/2022	BA.5.1.25	920	0.964217637026385	gisaid	2022-05-18	Austria		unknown	unknown	BA.5.1.25	EPI_ISL_13490635
hCoV-19/Austria/LB-R00086-S137/2022	BA.5.1.25	0	0.984784135371033	gisaid	2022-06-27	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_13632882
hCoV-19/Austria/LB-R00090-S043/2022	BA.5.1.25	139	0.991372103133465	gisaid	2022-07-19	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14019389
hCoV-19/Austria/LB-R00090-S057/2022	BA.5.1.25	67	0.993779888305521	gisaid	2022-07-19	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14019403
hCoV-19/Austria/LB-R00092-S157/2022	BA.5.1.22	129	0.991706517740695	gisaid	2022-07-26	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14217481
hCoV-19/Austria/LB-R00092-S261/2022	BA.5.1.25	63	0.993913654148413	gisaid	2022-07-26	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14217584
hCoV-19/Austria/LB-R00093-S046/2022	BA.5.1.4	54	0.99421462729492	gisaid	2022-08-02	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14355329
hCoV-19/Austria/LB-R00093-S144/2022	BA.5.1	230	0.988328930207671	gisaid	2022-08-02	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14355427
hCoV-19/Austria/LB-R00099-S138/2022	BA.5.1.25	226	0.988462696050563	gisaid	2022-09-06	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_14948300
hCoV-19/Austria/LB-R00102-S149/2022	BA.5.1.25	0	0.983613684245728	gisaid	2022-09-19	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_15109545
hCoV-19/Austria/LB-R00104-S158/2022	BA.5.1.25	1	0.983981540313681	gisaid	2022-09-27	Austria	Vienna	unknown	unknown	BA.5.1.25	EPI_ISL_15259603
hCoV-19/Austria/LB-R00113-S124/2022	DJ.1.1	61	0.993980537069859	gisaid	2022-11-21	Austria	Vienna	unknown	unknown	DJ.1.1	EPI_ISL_15936781
hCoV-19/Belgium/12214053401/2022	BA.5.1.25	264	0.986957830318028	gisaid	2022-08-25	Belgium	Antwerp	Female	5 months	BA.5.1.25	EPI_ISL_14800668
hCoV-19/Belgium/12216710201/2022	BA.5.1.25	268	0.986824064475136	gisaid	2022-10-14	Belgium	Antwerp	Female	84.7	BA.5.1.25	EPI_ISL_15455929
hCoV-19/Belgium/AZDelta-2231-09550/2022	BA.5.1.25	210	0.988897435039963	gisaid	2022-08-10	Belgium	Roeselare	unknown	unknown	BA.5.1.25	EPI_ISL_14476743
hCoV-19/Belgium/AZDelta-2235-10725/2022	DJ.1	314	0.985352640203324	gisaid	2022-09-05	Belgium	Mark	unknown	unknown	DJ.1	EPI_ISL_14933982
hCoV-19/Belgium/AZDelta-2236-08937/2022	BA.5.1.25	371	0.983446476942113	gisaid	2022-09-07	Belgium	Zonnebeke	unknown	unknown	BA.5.1.25	EPI_ISL_15109690
hCoV-19/Belgium/AZDelta-2237-12564/2022	BA.5.1.25	340	0.984483162224526	gisaid	2022-09-23	Belgium	Wervik	unknown	unknown	BA.5.1.25	EPI_ISL_15182412
hCoV-19/Belgium/AZKLINA122-122193/2022	BA.5.1.25	82	0.988295488746949	gisaid	2022-06-13	Belgium	Antwerp	Female	76	BA.5.1.25	EPI_ISL_13952171
hCoV-19/Belgium/CHUNamur14302112/2022	BA.5.1.25	0	0.972544560746413	gisaid	2022-09-13	Belgium	Namur	Male	23	BA.5.1.25	EPI_ISL_15022941
hCoV-19/Belgium/Jessa_11-2232-000756LKO/2022	BA.5.1.23	270	0.987526335150319	gisaid	2022-08-08	Belgium	Limburg	Female	96	BA.5.1.25	EPI_ISL_14478126
hCoV-19/Belgium/Jessa_11-2235-000598LKO/2022	BA.5.1.25	316	0.985988027957061	gisaid	2022-08-29	Belgium	Limburg	Female	52	BA.5.1.25	EPI_ISL_14775001
hCoV-19/Belgium/LHUB-ULB_31316983/2022	BA.5.1.25	1485	0.906932414807879	gisaid	2022-07-29	Belgium	Molenbeek-Saint-Jean	Male	53	BA.5.1.25	EPI_ISL_14993555
hCoV-19/Belgium/MBLG-CTMAPF90379482/2022	BA.5.1.25	21	0.99899675617831	gisaid	2022-06-12	Belgium	Brussels	Male	28	BA.5.1.25	EPI_ISL_13424279
hCoV-19/Belgium/rega-43230/2022	BA.5.1.25	259	0.983847774470789	gisaid	2022-06-19	Belgium	Kortrijk	Female	85	BA.5.1.25	EPI_ISL_14623099
hCoV-19/Belgium/rega-43661/2022	BA.5.1.25	76	0.989967561783099	gisaid	2022-06-27	Belgium	Herent	Female	14	BA.5.1.25	EPI_ISL_14623609
hCoV-19/Belgium/rega-44002/2022	BA.5.1.25	700	0.969100090291944	gisaid	2022-07-10	Belgium	Wilsele	Female	45	BA.5.1.25	EPI_ISL_14624481
hCoV-19/Belgium/SJ3220715159/2022	BA.5.1	777	0.969969568270742	gisaid	2022-07-10	Belgium	Damme	Female	61	BA.5.1.25	EPI_ISL_15079915
hCoV-19/Belgium/UGent-5769/2022	BA.5.1.25	27	0.99488345650938	gisaid	2022-08-30	Belgium	Beveren	Male	34	BA.5.1.25	EPI_ISL_15157915
hCoV-19/Belgium/UGent-5973/2022	BA.5.1.25	248	0.987492893689596	gisaid	2022-09-02	Belgium	Eppegem	Male	33	BA.5.1.25	EPI_ISL_15158117
hCoV-19/Belgium/ULB-IBC_CV8330859851/2022	BA.5.1.25	1971	0.912216165602113	gisaid	2022-07-06	Belgium	Wallonie	Female	39	BA.5.1.25	EPI_ISL_13840120
hCoV-19/Belgium/ULB-IBC_CV8497353075/2022	BA.5.1.25	2159	0.905093134468114	gisaid	2022-08-05	Belgium	Region Bruxelles-Capitale	Male	31	BA.5.1.25	EPI_ISL_14445991
hCoV-19/Belgium/UZA-UA-CV8242777989/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-29	Belgium	Wilrijk	Male	28	BA.5.1.25	EPI_ISL_14439984
hCoV-19/Belgium/UZA-UA-CV8525299482/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-05	Belgium	Anwerpen	Female	29	BA.5.1.25	EPI_ISL_13989166
hCoV-19/Belgium/UZA-UA-CV8525424976/2022	BA.5.1.25	0	0.997124034377822	gisaid	2022-08-22	Belgium	Kapellen	Female	21	BA.5.1.25	EPI_ISL_14788431
